Comuna,Poblacion,Casos Confirmados
Alhue,7405.0,656.0
Buin,109641.0,7674.0
Calera de Tango,28525.0,1832.0
Cerrillos,88956.0,6534.0
Cerro Navia,142465.0,14440.0
Colina,180353.0,10948.0
Conchali,139195.0,12028.0
Curacavi,36430.0,2731.0
El Bosque,172000.0,16491.0
El Monte,40014.0,3059.0
Estacion Central,206792.0,14424.0
Huechuraba,112528.0,7898.0
Independencia,142065.0,12131.0
Isla de Maipo,40171.0,3201.0
La Cisterna,100434.0,8043.0
La Florida,402433.0,33538.0
La Granja,122557.0,13700.0
La Pintana,189335.0,21075.0
La Reina,100252.0,5509.0
Lampa,126898.0,8278.0
Las Condes,330759.0,15010.0
Lo Barnechea,124076.0,7429.0
Lo Espejo,103865.0,9027.0
Lo Prado,104403.0,10884.0
Macul,134635.0,10940.0
Maipu,578605.0,36507.0
Maria Pinto,14926.0,1160.0
Melipilla,141612.0,9609.0
Nunoa,250192.0,13518.0
Padre Hurtado,74188.0,5979.0
Paine,82766.0,5617.0
Pedro Aguirre Cerda,107803.0,9824.0
Penaflor,101058.0,6903.0
Penalolen,266798.0,25019.0
Pirque,30433.0,2600.0
Providencia,157749.0,7794.0
Pudahuel,253139.0,22825.0
Puente Alto,645909.0,58153.0
Quilicura,254694.0,18071.0
Quinta Normal,136368.0,12948.0
Recoleta,190075.0,15775.0
Renca,160847.0,19470.0
San Bernardo,334836.0,27877.0
San Joaquin,103485.0,10610.0
San Jose de Maipo,18644.0,1442.0
San Miguel,133059.0,12407.0
San Pedro,11953.0,787.0
San Ramon,86510.0,8983.0
Santiago,503147.0,34620.0
Talagante,81838.0,4232.0
Tiltil,21477.0,1408.0
Vitacura,96774.0,4103.0